Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches
Ben DeLuzio,STL,AAA,27,408,0.08823529,0.22303922,0.3956044,0.27747253,0.35294118,0.42857143,0.78151261,0.1510989,8.376885068,0.34716981,2.395513638,58.37376394,5.059688113,0.349479296,109.490342,19644,0.34716981,1.32608696,0.2103321,0.4501845,0.33948339,0.30434783,0.09782609,0.41090909,0.24363636,0.34545455,0.11599745,582,987,1569
Jake Noll,WSN,AAA,28,423,0.04728132,0.1820331,0.25974026,0.25641026,0.30732861,0.41538462,0.72271323,0.15897436,5.466673091,0.29411765,0.514341479,49.24898662,-6.025165526,0.318031533,89.09948811,19703,0.29411765,1.03389831,0.22077922,0.3961039,0.38311688,0.29661017,0.08474576,0.47923323,0.20447284,0.31629393,0.14962762,453,1024,1477
Ronnie Dawson,CIN,AAA,27,448,0.09375,0.25,0.375,0.2519084,0.33928571,0.39440204,0.73368775,0.14249364,4.36960588,0.32352941,-0.0631581,57.13457451,-1.406371498,0.331137776,97.59762765,19710,0.32352941,1.46666667,0.20714286,0.47142857,0.32142857,0.15555556,0.12222222,0.37192982,0.26315789,0.36491228,0.12958843,654,1144,1798
Darick Hall,PHI,AAA,26,443,0.09480813,0.22573363,0.42,0.25380711,0.32957111,0.52791878,0.85748989,0.27411167,3.446150204,0.26765799,0.057074135,69.13775614,11.2501689,0.364815674,119.43451,19717,0.26765799,1.11965812,0.15932203,0.4440678,0.39661017,0.20512821,0.23931624,0.4261745,0.2147651,0.3590604,0.12901272,607,1044,1651
Rylan Bannon,BAL,AAA,26,411,0.14355231,0.243309,0.59,0.24853801,0.36739659,0.42105263,0.78844922,0.17251462,5.159573321,0.31034483,0.636139729,61.14400416,7.437913074,0.356201879,113.8492914,19768,0.31034483,1.05617978,0.24691358,0.38683128,0.36625514,0.24719101,0.14606742,0.38367347,0.26122449,0.35510204,0.0938914,742,1026,1768
Dairon Blanco,KCR,AAA,29,414,0.08454106,0.23671498,0.35714286,0.30054645,0.36650485,0.4863388,0.85284365,0.18579235,7.832258667,0.37065637,4.93062791,67.82248127,13.72437492,0.373968777,125.3694183,19779,0.37065637,1.32222222,0.21132075,0.4490566,0.33962264,0.11111111,0.15555556,0.42909091,0.28,0.29090909,0.15197368,542,978,1520
Drew Ellis,SEA,AAA,26,468,0.15811966,0.25,0.63247863,0.22597403,0.35470085,0.45454545,0.8092463,0.22857142,4.365324201,0.2687747,-0.872095505,69.51179231,1.053963132,0.352561241,101.5395801,19873,0.2687747,0.56521739,0.19402985,0.29104478,0.51492537,0.30434783,0.13768116,0.47426471,0.23161765,0.29411765,0.10366748,837,1208,2045
Adam Haseley,CHW,AAA,26,463,0.06911447,0.16846652,0.41025641,0.23923445,0.30519481,0.41148325,0.71667806,0.1722488,6.760781629,0.25914634,1.443499916,53.51919139,-6.981830934,0.317045251,88.45997858,19878,0.25914634,1.51785714,0.16320475,0.50445104,0.33234421,0.21428571,0.13392857,0.4244186,0.20930233,0.36627907,0.09373203,659,1080,1739
Khalil Lee,NYM,"A,AAA",24,453,0.11037528,0.33112583,0.33333333,0.21354167,0.32964602,0.36979167,0.69943769,0.15625,5.309171961,0.32,-0.448772782,53.89517277,-4.870435767,0.321859142,91.98487853,19952,0.32,1.34177215,0.19213974,0.4628821,0.34497817,0.16455696,0.12658228,0.41702128,0.25957447,0.32340426,0.14897075,728,1118,1846
Eguy Rosario,SDP,AAA,22,564,0.10460993,0.19326241,0.5412844,0.2877551,0.36767318,0.50816327,0.87583645,0.22040817,6.516387966,0.32513661,-0.575861552,95.47178923,12.97132843,0.374974355,115.7227345,19964,0.32513661,0.94594595,0.24409449,0.36745407,0.38845144,0.22297297,0.14864865,0.49100257,0.24164524,0.26735219,0.12045977,799,1376,2175
Conner Capel,OAK,AAA,25,409,0.12958435,0.17114914,0.75714286,0.26345609,0.36430318,0.42209632,0.7863995,0.15864023,6.142924763,0.3040293,-0.821545853,60.45440653,6.510277881,0.354695909,112.0754153,19983,0.3040293,1,0.20577617,0.39711191,0.39711191,0.21818182,0.09090909,0.39929329,0.26501767,0.33568905,0.08497537,636,988,1624
Miles Mastrobuoni,TBR,AAA,26,573,0.10994764,0.16579407,0.66315789,0.29980276,0.37696335,0.46942801,0.84639136,0.16962525,6.140665976,0.34170854,1.971157382,94.63364421,19.7587289,0.3755412,126.3889833,20017,0.34170854,1.33846154,0.26034063,0.42335766,0.3163017,0.10769231,0.12307692,0.34782609,0.29951691,0.352657,0.06119028,929,1457,2386
Kramer Robertson,NYM,AAA,27,514,0.16342412,0.20038911,0.81553398,0.23902439,0.39299611,0.36341463,0.75641074,0.12439024,5.908977177,0.29391892,1.016254829,76.65057232,9.485290522,0.356622945,114.1223118,20022,0.29391892,2.05063291,0.20462046,0.53465347,0.26072607,0.26582278,0.13924051,0.48208469,0.25081433,0.26710098,0.08204896,928,1278,2206
Brian Miller,MIA,AAA,26,452,0.08185841,0.17035398,0.48051948,0.29166667,0.34888889,0.43382353,0.78271242,0.14215686,8.019333457,0.34146341,1.526947772,63.64311832,4.579485291,0.346800619,107.7534771,20047,0.34146341,1.36936937,0.19817073,0.46341463,0.33841463,0.18018018,0.06306306,0.42136499,0.24035608,0.33827893,0.10084541,596,1060,1656
Mark Contreras,MIN,AAA,27,423,0.08747045,0.29550827,0.296,0.23670213,0.31678487,0.41755319,0.73433806,0.18085106,6.971784688,0.31092437,2.954096273,51.88891756,-3.385234584,0.325397416,93.87555584,20122,0.31092437,1.07368421,0.19591837,0.41632653,0.3877551,0.11578947,0.15789474,0.384,0.292,0.324,0.17256922,524,1029,1553
Miguel Vargas,LAD,AAA,22,520,0.13653846,0.14615385,0.93421053,0.30365297,0.40384615,0.51141553,0.91526168,0.20776256,6.416898779,0.33142857,-0.076284422,98.39303206,22.32877741,0.396511325,129.3551518,20178,0.33142857,0.94244604,0.24581006,0.36592179,0.38826816,0.14388489,0.12230216,0.4359673,0.26158038,0.30245232,0.08272149,826,1217,2043
