Name,Team,Level,PA,BB%,K%,AVG,OBP,SLG,ISO,BABIP,wRC,wRAA,wOBA,wRC+,LD%,GB%,FB%,IFFB%,Pull%,Cent%,Oppo%,SwStr%,Pitches,Pitches/PA
Jorge Garcia,PHI,DSL,177,0.07344633,0.23163842,0.30769231,0.37853107,0.41666667,0.10897436,0.40517241,29.98181203,4.679873315,0.388891215,118.4961056,0.19642857,0.47321429,0.33035714,0.18918919,0.43697479,0.26890756,0.29411765,0.33974359,312,1.762711864
Mikey Perez,MIN,"A,A+,AAA",417,0.10311751,0.2206235,0.2259887,0.3381295,0.38983051,0.16384181,0.27272727,55.35108495,5.389359245,0.342925346,110.6551647,0.24609375,0.34375,0.41015625,0.35238095,0.63018868,0.18490566,0.18490566,0.12413359,1587,3.805755396
Oscar Colina,MIA,DSL,168,0.16071429,0.17261905,0.22058824,0.36309524,0.23529412,0.01470588,0.27777778,20.12624364,-3.889155817,0.327877216,83.80557515,0.2,0.58947368,0.21052632,0.25,0.5631068,0.18446602,0.25242718,0.22483221,298,1.773809524
German Ortiz,OAK,DSL,225,0.17777778,0.2,0.24858757,0.38839286,0.31638418,0.06779661,0.32352941,33.91933431,1.755852893,0.365961708,105.4591506,0.20454545,0.40151515,0.39393939,0.28846154,0.38235294,0.22794118,0.38970588,0.2494382,445,1.977777778
Brady Allen,MIA,"A,A+",488,0.12090164,0.2602459,0.24761905,0.3442623,0.35714286,0.10952381,0.33217993,60.85158131,2.873670537,0.33422906,105.1018784,0.25510204,0.43877551,0.30612245,0.22222222,0.45150502,0.2541806,0.29431438,0.11168033,1952,4
Oscar Colas,CHW,"A+,AA,AAA",526,0.07224335,0.22813688,0.31392931,0.37072243,0.52390852,0.20997921,0.37758112,93.45925484,25.18211882,0.3936872,136.8353143,0.23809524,0.45378151,0.30812325,0.17272727,0.42541436,0.25690608,0.31767956,0.15042479,2001,3.80418251
Cesar Prieto,BAL,"A+,AA",494,0.04048583,0.14979757,0.27311828,0.31376518,0.40430108,0.1311828,0.30446194,59.68149057,-2.481290056,0.320301904,95.52344576,0.1865285,0.50777202,0.30569948,0.15254237,0.41624365,0.26395939,0.31979695,0.08621668,1763,3.568825911
Oscar Aude,COL,DSL,215,0.10232558,0.19534884,0.19354839,0.28504673,0.32258065,0.12903226,0.21276596,20.88128036,-9.852712988,0.299976171,67.94196942,0.16911765,0.42647059,0.40441176,0.29090909,0.54421769,0.15646259,0.29931973,0.29133858,381,1.772093023
Dyan Jorge,COL,DSL,234,0.1025641,0.14957265,0.32038835,0.4017094,0.45145631,0.13106796,0.37125749,44.77392525,11.32390458,0.415901415,133.8532065,0.18518519,0.49382716,0.32098765,0.25,0.43712575,0.25149701,0.31137725,0.21975309,405,1.730769231
Daniel Guilarte,MIL,CPX,144,0.13194444,0.21527778,0.30645161,0.40277778,0.37096774,0.06451613,0.40860215,23.76226682,4.127054871,0.374638687,121.0186418,0.15217391,0.64130435,0.20652174,0.10526316,0.43010753,0.15053763,0.41935484,0.21428571,294,2.041666667
Maikol Munoz,SDP,DSL,213,0.09859155,0.24413146,0.28804348,0.37558685,0.43478261,0.14673913,0.37209302,36.50248198,6.054386243,0.391332758,119.8842854,0.216,0.464,0.32,0.175,0.4765625,0.2265625,0.296875,0.33952255,377,1.769953052
Diego Benitez,ATL,DSL,182,0.15934066,0.2032967,0.19565217,0.36263736,0.2826087,0.08695653,0.24038462,23.96557233,-2.05111041,0.342493965,92.11617242,0.21,0.4,0.39,0.20512821,0.50943396,0.21698113,0.27358491,0.2704918,366,2.010989011
Jair Casanova,ATL,CPX,179,0.13407821,0.18994413,0.2885906,0.39106145,0.3557047,0.0671141,0.35897436,27.90575897,4.140395407,0.371336696,117.4219738,0.15929204,0.53097345,0.30973451,0.14285714,0.31932773,0.19327731,0.48739496,0.22916667,336,1.877094972
Rosman Verdugo,SDP,CPX,195,0.11282051,0.35384615,0.25149701,0.33846154,0.46706587,0.21556886,0.36842105,30.83786772,4.248518215,0.366191903,115.9782706,0.12121212,0.3030303,0.57575758,0.19298246,0.48039216,0.34313725,0.17647059,0.27570093,428,2.194871795
Yimmy Diaz,DET,DSL,194,0.13917526,0.15463918,0.27160494,0.38659794,0.37654321,0.10493827,0.31538462,31.9647468,4.232678377,0.383204375,115.2627576,0.21848739,0.38655462,0.39495798,0.23404255,0.5,0.20967742,0.29032258,0.24483776,339,1.74742268
Keiner Delgado,NYY,DSL,238,0.24369748,0.11764706,0.30952381,0.50420168,0.50595238,0.19642857,0.35251799,60.69053292,26.66871702,0.494228016,178.3871064,0.23484848,0.28787879,0.47727273,0.17460317,0.43884892,0.29496403,0.26618705,0.14020619,485,2.037815126
Jaison Chourio,CLE,DSL,175,0.22857143,0.12571429,0.28030303,0.44571429,0.40151515,0.12121212,0.32432432,35.19362358,10.17758248,0.427915868,140.6842251,0.19191919,0.49494949,0.31313131,0.06451613,0.33980583,0.30097087,0.3592233,0.13353116,337,1.925714286
Andy Lugo,BOS,DSL,242,0.04545455,0.1446281,0.31818182,0.3677686,0.41363636,0.09545454,0.3655914,39.28250003,4.688888908,0.380199358,113.5542048,0.21818182,0.43030303,0.35151515,0.25862069,0.44571429,0.18285714,0.37142857,0.25872093,344,1.421487603
Guillermo Williamson,SFG,DSL,224,0.13392857,0.28571429,0.23404255,0.34375,0.42553191,0.19148936,0.30833333,34.51525795,2.494725343,0.370063016,107.7910176,0.175,0.44166667,0.38333333,0.15217391,0.5,0.2016129,0.2983871,0.34075724,449,2.004464286
Irving Igualas,MIL,DSL,178,0.08988764,0.35393258,0.23125,0.29775281,0.2875,0.05625,0.36734694,16.53302105,-8.911866473,0.29475926,64.97580716,0.1978022,0.46153846,0.34065934,0.12903226,0.35416667,0.28125,0.36458333,0.45923913,368,2.06741573
Cristhian Vaquero,WSN,DSL,216,0.15277778,0.17592593,0.25568182,0.37850467,0.34090909,0.08522727,0.31654676,31.96438852,1.087446361,0.362554406,103.5218719,0.1875,0.453125,0.359375,0.26086957,0.51851852,0.18518519,0.2962963,0.25373134,402,1.861111111
Ricardo Cabrera,CIN,DSL,180,0.07222222,0.22222222,0.25333333,0.36312849,0.38,0.12666667,0.33333333,27.67977235,1.948987214,0.369682263,107.5745346,0.18518519,0.5,0.31481481,0.11764706,0.46846847,0.1981982,0.33333333,0.34394904,314,1.744444444
Samuel Munoz,LAD,DSL,210,0.12380952,0.16190476,0.34682081,0.42857143,0.49132948,0.14450867,0.40689655,43.80331909,13.78406977,0.437120085,145.9174366,0.2189781,0.47445255,0.30656934,0.0952381,0.32142857,0.26428571,0.41428571,0.20708447,367,1.747619048
Yordany De Los Santos,PIT,DSL,234,0.13675214,0.19230769,0.25789474,0.37179487,0.36315789,0.10526315,0.32,35.60013341,2.150112739,0.367665442,106.4278368,0.22794118,0.38970588,0.38235294,0.26923077,0.50694444,0.23611111,0.25694444,0.24772727,440,1.88034188
Lazaro Montes,SEA,DSL,223,0.15695067,0.33183857,0.28409091,0.42152466,0.58522727,0.30113636,0.42105263,51.64295363,19.76536983,0.46541323,162.0039773,0.2254902,0.34313725,0.43137255,0.20454545,0.53398058,0.25242718,0.21359223,0.38539554,493,2.210762332
Javier Osorio,DET,DSL,178,0.08988764,0.38202247,0.17532468,0.28089888,0.22727273,0.05194805,0.30232558,12.94935587,-12.49553165,0.269988151,50.89177879,0.19277108,0.5060241,0.30120482,0.2,0.68604651,0.1744186,0.13953488,0.45,380,2.134831461
Jonathan Mejia,STL,DSL,208,0.15865385,0.23076923,0.26666667,0.41826923,0.47878788,0.21212121,0.34821429,43.13262801,13.3992763,0.435620466,145.0648028,0.20183486,0.33027523,0.46788991,0.2745098,0.52727273,0.16363636,0.30909091,0.28985507,414,1.990384615
Simon Juan,NYM,DSL,231,0.08658009,0.23376623,0.21890547,0.31004367,0.32338308,0.10447761,0.28767123,25.30148466,-7.719689588,0.315242686,76.6220016,0.12592593,0.51111111,0.36296296,0.24489796,0.47857143,0.26428571,0.25714286,0.31914894,423,1.831168831
Freili Encarnacion,BOS,DSL,173,0.0867052,0.29479769,0.25503356,0.33526012,0.36912752,0.11409396,0.35353535,23.18438759,-1.545755893,0.345366687,93.74950698,0.22727273,0.39772727,0.375,0.3030303,0.40860215,0.27956989,0.31182796,0.38906752,311,1.797687861
Jhonny Severino,MIL,DSL,198,0.07070707,0.27777778,0.26815642,0.33333333,0.39106145,0.12290503,0.36885246,27.68200654,-0.621857108,0.352495874,97.80292502,0.17241379,0.46551724,0.36206897,0.19047619,0.49166667,0.225,0.28333333,0.35977337,353,1.782828283
Braylin Tavera,BAL,DSL,185,0.19459459,0.25405405,0.24305556,0.41081081,0.31944444,0.07638888,0.34736842,30.80273109,4.357201928,0.385338479,116.4761382,0.16304348,0.48913043,0.34782609,0.34375,0.51578947,0.25263158,0.23157895,0.2675,400,2.162162162
Yendry Rojas,SDP,DSL,187,0.13903743,0.12299465,0.27922078,0.37297297,0.35714286,0.07792208,0.31617647,27.895702,1.164275229,0.364020519,104.3554549,0.23622047,0.47244094,0.29133858,0.21621622,0.45112782,0.22556391,0.32330827,0.16190476,315,1.684491979
Jose De Jesus,TEX,DSL,229,0.11790393,0.20524017,0.28140704,0.36842105,0.38190955,0.10050251,0.35333333,34.87623421,2.140957567,0.367863094,106.5402153,0.21768707,0.45578231,0.32653061,0.25,0.41176471,0.20915033,0.37908497,0.24711316,433,1.890829694
Nelson Rada,LAA,DSL,206,0.12621359,0.12621359,0.31097561,0.44607843,0.43902439,0.12804878,0.3649635,43.46911613,14.02166204,0.440107308,147.615872,0.248,0.568,0.184,0.26086957,0.42307692,0.19230769,0.38461538,0.19648094,341,1.655339806
Anthuan Valencia,CIN,DSL,156,0.19871795,0.20512821,0.15,0.33333333,0.15833333,0.00833333,0.2,13.88548249,-8.414531293,0.289994458,62.26669913,0.13253012,0.38554217,0.48192771,0.3,0.43023256,0.24418605,0.3255814,0.23780488,328,2.102564103
Johanfran Garcia,BOS,DSL,161,0.13043478,0.1552795,0.26811594,0.36645963,0.33333333,0.06521739,0.3245614,22.94060391,-0.074153902,0.355793417,99.67779847,0.21276596,0.4893617,0.29787234,0.25,0.4040404,0.25252525,0.34343434,0.24124514,257,1.596273292
Randy De Jesus,LAA,DSL,210,0.0952381,0.21428571,0.27173913,0.36190476,0.4673913,0.19565217,0.32575758,36.89764286,6.878393543,0.396660173,122.9132763,0.25806452,0.34677419,0.39516129,0.3877551,0.56589147,0.13953488,0.29457364,0.29059829,351,1.671428571
Bryan Acuna,MIN,DSL,171,0.11695906,0.21052632,0.31034483,0.40935673,0.39310345,0.08275862,0.40909091,30.85218122,6.407935345,0.402466382,126.2144939,0.26923077,0.36538462,0.36538462,0.36842105,0.28971963,0.25233645,0.45794393,0.26851852,324,1.894736842
Michael Arroyo,SEA,DSL,199,0.13567839,0.16582915,0.31372549,0.45728643,0.48366013,0.16993464,0.3697479,45.1492771,16.70246465,0.459628046,158.7147143,0.27192982,0.34210526,0.38596491,0.18181818,0.525,0.20833333,0.26666667,0.22375691,362,1.819095477
Adan Sanchez,CHC,DSL,164,0.14634146,0.15853659,0.32824427,0.45121951,0.38931298,0.06106871,0.40186916,32.94387116,9.500266928,0.427633919,140.5239179,0.29807692,0.44230769,0.25961538,0.11111111,0.47222222,0.19444444,0.33333333,0.22653722,309,1.884146341
Henry Ramos,KCR,DSL,196,0.15306122,0.21428571,0.19254658,0.32653061,0.22981366,0.03726708,0.25619835,18.88450938,-9.133456653,0.299025463,67.40142863,0.14563107,0.48543689,0.36893204,0.21052632,0.39252336,0.24299065,0.36448598,0.22222222,351,1.790816327
Leandro Arias,BAL,DSL,190,0.14210526,0.21578947,0.21656051,0.34391534,0.30573248,0.08917197,0.28448276,23.90494948,-3.255323717,0.33527972,88.01439259,0.18018018,0.5045045,0.31531532,0.25714286,0.41071429,0.25892857,0.33035714,0.27005348,374,1.968421053
Martin Gonzalez,SEA,DSL,215,0.14883721,0.4,0.23255814,0.37674419,0.3255814,0.09302326,0.43529412,31.99666697,1.262673617,0.363585986,104.1083943,0.16470588,0.45882353,0.37647059,0.21875,0.52325581,0.22093023,0.25581395,0.43032787,488,2.269767442
